solver,pair,n_legs,volume_usd,binance_n,binance_vw_edge_bps,binance_mean_edge_bps,hl_n,hl_vw_edge_bps,hl_mean_edge_bps
crux-solver.near,NEAR/USDC,5,3719.43,0,,,5,7.66,13.49
sodax-solver.near,BTC/SOL,23,3693.41,0,,,23,8.24,7.66
solver-priv-liq.near,LTC/USDT,26,3535.67,0,,,26,8.93,9.55
solver-priv-liq.near,BTC/SOL,4,3446.72,0,,,4,10.34,8.33
solver-priv-liq.near,POL/USDT,3,3344.00,0,,,3,9.50,15.25
sodax-solver.near,USDC/BTC,5,3190.29,0,,,5,-2.72,-3.22
crux-solver.near,BTC/BNB,2,3019.17,0,,,2,9.47,7.67
solver-priv-liq.near,USDT/OKB,10,2970.37,0,,,0,,
crux-solver.near,ETH/SOL,24,2934.44,0,,,24,5.18,5.85
crux-solver.near,ETH/XRP,3,2873.90,0,,,3,5.64,6.69
crux-solver.near,ETH/BNB,12,2789.07,0,,,12,5.29,6.91
solver-priv-liq.near,USDT/ASTER,5,2695.69,0,,,5,10.79,11.33
sodax-solver.near,USDC/USDT,7,2531.25,0,,,7,-4.49,-4.43
l2solver.near,USDT/USDT,2,2520.79,0,,,2,2.11,2.17
solver-priv-liq.near,DOGE/USDT,19,2473.43,0,,,19,6.97,6.48
solver-priv-liq.near,USDC/TON,7,2304.37,0,,,0,,
crux-solver.near,BNB/USDC,9,2276.97,0,,,9,4.74,4.10
sodax-solver.near,ETH/BNB,8,2266.90,0,,,8,5.23,6.43
solver-priv-liq.near,ETH/USDT,7,2214.74,0,,,7,7.21,6.64
sodax-solver.near,BTC/ETH,22,2185.01,0,,,22,4.59,7.70
solver-multichain-asset.near,USDT/USDT0,3,2152.10,0,,,3,1.00,1.00
solver-priv-liq.near,USDT/NEAR,10,2100.14,0,,,10,-10.11,2.04
crux-solver.near,USDT/TRX,37,1965.34,0,,,37,11.91,12.19
crux-solver.near,USDC/NEAR,17,1959.83,0,,,17,-3.94,-2.70
4fdbc608fd712338c7680c224f249360c855987cc25ec4501a9a47ef4c789264,BTC/USDT,8,1952.02,0,,,8,2.69,2.61
sodax-solver.near,USDC/SOL,15,1945.37,0,,,15,2.36,0.65
sodax-solver.near,ETH/BTC,8,1943.03,0,,,8,-1.40,1.25
crux-solver.near,XRP/USDT,9,1917.84,0,,,9,4.94,2.24
solver-priv-liq.near,USDT/ADI,3,1906.05,0,,,0,,
sodax-solver.near,USDC/ETH,7,1901.23,0,,,7,-1.33,-3.74
solver-multichain-asset.near,AURORA/AURORA,38,1812.56,0,,,38,1.00,1.00
crux-solver.near,ETH/ZEC,1,1799.40,0,,,1,29.25,29.25
solver-priv-liq.near,USDT/SUI,2,1765.00,0,,,2,12.07,8.59
solver-priv-liq.near,NEAR/USDT,23,1764.28,0,,,23,0.69,2.81
crux-solver.near,TRX/BTC,3,1753.12,0,,,3,12.16,12.34
0x2e30c32738a28833e3d85189c04895c25ee54cb5,SOL/USDC,2,1746.23,0,,,2,8.70,8.64
crux-solver.near,ZEC/XRP,1,1662.31,0,,,1,33.96,33.96
crux-solver.near,BNB/SOL,21,1568.44,0,,,21,3.07,3.28
solver-priv-liq.near,USDT/AURORA,37,1474.00,0,,,0,,
solver-multichain-asset-3.near,USDT0/USDT,1,1468.05,0,,,1,1.00,1.00
sodax-solver.near,BTC/USDT,2,1448.03,0,,,2,7.91,9.24
sodax-solver.near,USDT/SOL,15,1417.10,0,,,15,6.30,6.69
solver-priv-liq.near,USDT/XRP,7,1407.98,0,,,7,12.00,9.35
solver-priv-liq.near,BTC/ETH,3,1394.65,0,,,3,11.27,11.37
crux-solver.near,USDC/BNB,12,1346.71,0,,,12,0.36,2.64
crux-solver.near,USDC/XRP,8,1344.39,0,,,8,3.16,3.62
solver-priv-liq.near,USDC/NEAR,8,1312.35,0,,,8,-9.40,-10.47
sodax-solver.near,ETH/USDC,14,1282.83,0,,,14,3.82,3.51
solver-priv-liq.near,USDT/BTC,8,1272.34,0,,,8,8.81,10.75
0x2e30c32738a28833e3d85189c04895c25ee54cb5,SOL/USDT,12,1270.26,0,,,12,0.33,2.37
solver-priv-liq.near,XAUT/USDC,1,1267.50,0,,,0,,
sodax-solver.near,USDT/USDC,4,1247.18,0,,,4,6.53,8.48
4fdbc608fd712338c7680c224f249360c855987cc25ec4501a9a47ef4c789264,USDT/BTC,2,1211.71,0,,,2,5.23,2.98
